project,filename,mutants,killed_output,killed_timeout,total_killed,survived,mutation score
bfs,breadth_first_search,180,149,0,149,31,82.78
binheap,binheap,171,161,5,166,5,97.08
bst1,binary_search_tree,34,31,0,31,3,91.18
bst2,bst2,179,154,0,154,25,86.03
combinations,combinations,58,58,0,58,0,100.00
complement,complement,27,14,12,26,1,96.30
convert-base,convert_base,125,114,0,114,11,91.20
deque,deque,2,2,0,2,0,100.00
dfs,depth_first_search,166,142,0,142,24,85.54
dijkstras,dijkstras,35,30,1,31,4,88.57
dll,dll,111,92,1,93,18,83.78
edit-distance,edit_distance,500,414,14,428,72,85.60
factorial,factorial,36,35,0,35,1,97.22
fenwick,fenwick_tree,142,124,13,137,5,96.48
fibonacci,fibonacci,88,88,0,88,0,100.00
find-duplicates,find_duplicates,62,42,2,44,18,70.97
first-missing-positive,first_missing_positive,84,68,6,74,10,88.10
fizz-buzz,fizz_buzz,69,65,0,65,4,94.20
graph1,graph1,98,88,0,88,10,89.80
graph2,graph2,3,3,0,3,0,100.00
hamming,hamming_ops,29,18,10,28,1,96.55
hashmap,hash_map,173,157,5,162,11,93.64
heap,heap,321,241,37,278,43,86.60
heapsort,heapsort,84,72,0,72,12,85.71
linked-list1,linked_list1,44,35,6,41,3,93.18
linked-list2,linked_list2,72,69,0,69,3,95.83
long-comm,longest_common_prefix,30,26,0,26,4,86.67
lru-cache,lru_cache,26,19,0,19,7,73.08
mergesort,mergesort,50,48,0,48,2,96.00
naive-tree,naive_tree,29,29,0,29,0,100.00
perm-word,permutations,40,40,0,40,0,100.00
priority-queue1,priority_queue1,40,19,0,19,21,47.50
priority-queue2,priority_queue2,13,11,0,11,2,84.62
queue,a_queue,1,1,0,1,0,100.00
quicksort,quicksort,60,53,0,53,7,88.33
rabin-karp,rabin_karp_substring_search,266,226,3,229,37,86.09
radixsort,radixsort,63,48,6,54,9,85.71
stack,stack,0,0,0,0,0,0.00
trie,trie,29,3,0,3,26,10.34
word-squares,word_squares,24,21,0,21,3,87.50
